deviceID,deviceName,deviceNo,visible,lat,lon,lastReceivedMsg
17dh0cf43jg89n,Trondheim Torg,24,1,1.1070693,0.18140073,1610355598976
17dh0cf43jg89l,Elgeseter gate 24,23,1,1.1068769,0.18145236,1610355648548
17dh0cf43jg89j,Angelltrøa barnehage,22,1,1.1068268000000001,0.18259066,1610355601052
17dh0cf43jg89h,Hesteskoen barnehage,21,1,1.1047916,0.18287916,1610355651830
17dh0cf43jg89f,Charlottenlund barnehage,20,1,1.1069226,0.18310533,1610355657997
17dh0cf43jg89b,Sandbakken barnehage,19,1,1.1055099,0.18088146,1610355623354
17dh0cf43jg899,Sjetne skole,18,1,1.1059896,0.1814317,1610355569652
17dh0cf43jg897,Åsvang skole,17,1,1.1067467,0.18243566,1610355556051
17dh0cf43jg88k,Huseby barneskole,16,1,1.1059899,0.1806702,1610355672122
17dh0cf43jg88i,Tiller HVS,15,1,1.1057855,0.18114947,1610355600902
17dh0cf43jg88g,Byneset og Nypantunet HVS,14,1,1.1057612000000001,0.17737162,1610355546947
17dh0cf43jg88e,Ila skole,13,1,1.1070708,0.18100476,1610355639580
17dh0cf43jg88b,Utleira skole,12,1,1.1063455,0.1820062,1610355594996
17dh0cf43jg889,Strindheim skole,11,1,1.1071166,0.18247929,1610355652101
17dh0cf43jg887,Lilleby skole,10,1,1.1072495,0.18212362000000001,1610355647496
17dh0cf43jg885,Sjøskogbekken Fus Barnehage,9,1,1.1070087,0.18366577,1610355563735
17dh0cf43jg881,Åsheim barneskole,8,1,1.1056738,0.18052518,1610355622516
17dh0cf43jg87n,Tanem skole (Tanemshallen),7,1,1.1048996,0.1819545,1610355640700
17dh0cf43jg785,Lademoen stasjon,6,1,1.1071883,0.18182005,1610355579023
17dh0cf43jg783,Berg skole,5,1,1.1068723,0.1817887,1610355655933
17dh0cf43jg781,Singsaker skole,4,1,1.1069454,0.18175545,1610355505766
17dh0cf43jg77n,Bispehaugen skole,3,1,1.1070877,0.18178183,1610355559595
17dh0cf43jg77l,Ugla skole,2,1,1.1065315,0.18042853,1610355533443
17dh0cf43jg77j,Sverresborg skole,1,1,1.1068553,0.18093067,1610355521763
